iter	Passed	Remaining
0	1	113
1	2	106
2	3	101
3	3	94
4	4	94
5	5	93
6	6	92
7	7	91
8	9	91
9	10	90
10	11	89
11	12	89
12	13	87
13	14	86
14	15	85
15	16	84
16	17	83
17	18	82
18	19	81
19	20	80
20	21	79
21	22	78
22	23	77
23	24	76
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	54	43
56	55	42
57	56	41
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	78	19
80	79	18
81	80	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	96	1
98	97	0
99	98	0
